id,name,category,generation,is_legendary,is_mythical,types,height,weight,abilities,habitat,evolves_from,description,hp,attack,defense,special_attack,special_defense,speed,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_steel,against_dark,against_fairy,cry_url,sprite_url,shiny_sprite_url
1,bulbasaur,Seed Pokemon,Generation-i,False,False,"grass, poison",0.7,6.9,"Overgrow, Chlorophyll (Hidden)",Grassland,None,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKeMON.,45,49,49,65,65,45,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/1.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/1.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/1.png
2,ivysaur,Seed Pokemon,Generation-i,False,False,"grass, poison",1.0,13.0,"Overgrow, Chlorophyll (Hidden)",Grassland,Bulbasaur,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",60,62,63,80,80,60,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/2.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/2.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/2.png
3,venusaur,Seed Pokemon,Generation-i,False,False,"grass, poison",2.0,100.0,"Overgrow, Chlorophyll (Hidden)",Grassland,Ivysaur,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,80,82,83,100,100,80,1.0,2.0,0.5,0.5,0.25,2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/3.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/3.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/3.png
4,charmander,Lizard Pokemon,Generation-i,False,False,fire,0.6,8.5,"Blaze, Solar power (Hidden)",Mountain,None,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail.",39,52,43,60,50,65,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,1.0,0.5,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/4.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/4.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/4.png
5,charmeleon,Flame Pokemon,Generation-i,False,False,fire,1.1,19.0,"Blaze, Solar power (Hidden)",Mountain,Charmander,"When it swings its burning tail, it elevates the temperature to unbearably high levels.",58,64,58,80,65,80,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,1.0,0.5,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/5.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/5.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/5.png
6,charizard,Flame Pokemon,Generation-i,False,False,"fire, flying",1.7,90.5,"Blaze, Solar power (Hidden)",Mountain,Charmeleon,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.,78,84,78,109,85,100,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,0.5,1.0,0.5,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/6.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/6.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/6.png
7,squirtle,Tiny Turtle Pokemon,Generation-i,False,False,water,0.5,9.0,"Torrent, Rain dish (Hidden)",Waters-edge,None,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth.",44,48,65,50,64,43,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/7.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/7.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/7.png
8,wartortle,Turtle Pokemon,Generation-i,False,False,water,1.0,22.5,"Torrent, Rain dish (Hidden)",Waters-edge,Squirtle,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance.",59,63,80,65,80,58,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/8.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/8.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/8.png
9,blastoise,Shellfish Pokemon,Generation-i,False,False,water,1.6,85.5,"Torrent, Rain dish (Hidden)",Waters-edge,Wartortle,A brutal POKeMON with pressurized water jets on its shell. They are used for high speed tackles.,79,83,100,85,105,78,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/9.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/9.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/9.png
10,caterpie,Worm Pokemon,Generation-i,False,False,bug,0.3,2.9,"Shield dust, Run away (Hidden)",Forest,None,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.,45,30,35,20,20,45,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,https://raw.githubusercontent.com/PokeAPI/cries/main/cries/pokemon/latest/10.ogg,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/10.png,https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/shiny/10.png
